Sample ID,Plant,Subsp_ploidy,Year,Population,Latitude,Longitude,Ecoregion,Included in GC?,Included in LC-MS?,Included in climate and spatial analyses,Climate PERMANOVAs
NMT.2.4_2021,NMT.2.4,T_4n,2021,San Luis Mesa,35.7572,-107.1478,Arizona/ New Mexico Plateau,Yes,Yes,No,No
NMT.2.5_2012,NMT.2.5,T_4n,2012,San Luis Mesa,35.7572,-107.1478,Arizona/ New Mexico Plateau,Yes,No,No,No
NMT.2.5_2021,NMT.2.5,T_4n,2021,San Luis Mesa,35.7572,-107.1478,Arizona/ New Mexico Plateau,Yes,Yes,No,No
NMT.2.6_2012,NMT.2.6,T_4n,2012,San Luis Mesa,35.7572,-107.1478,Arizona/ New Mexico Plateau,Yes,No,No,No
NMT.2.6_2021,NMT.2.6,T_4n,2021,San Luis Mesa,35.7572,-107.1478,Arizona/ New Mexico Plateau,Yes,Yes,No,No
NMT.2.8_2012,NMT.2.8,T_4n,2012,San Luis Mesa,35.7572,-107.1478,Arizona/ New Mexico Plateau,Yes,Yes,No,No
NMT.2.8_2021,NMT.2.8,T_4n,2021,San Luis Mesa,35.7572,-107.1478,Arizona/ New Mexico Plateau,Yes,Yes,No,No
NVT.1.6_2012,NVT.1.6,T_2n,2012,Currant B,38.7971,-115.3921,Central Basin and Range,Yes,Yes,Yes,Yes
NVT.2.8_2012,NVT.2.8,T_2n,2012,Currant B,38.7971,-115.3921,Central Basin and Range,Yes,No,Yes,No
NVT.2.9_2012,NVT.2.9,T_2n,2012,Currant B,38.7971,-115.3921,Central Basin and Range,Yes,No,Yes,No
NVTW.1.10_2012,NVTW.1.10,T_2n,2012,Austin,39.4728,-117.0497,Central Basin and Range,Yes,No,Yes,No
NVTW.1.10_2021,NVTW.1.10,T_2n,2021,Austin,39.4728,-117.0497,Central Basin and Range,Yes,Yes,Yes,Yes
NVTW.1.3_2012,NVTW.1.3,T_2n,2012,Austin,39.4728,-117.0497,Central Basin and Range,Yes,Yes,Yes,Yes
NVTW.1.6_2012,NVTW.1.6,T_2n,2012,Austin,39.4728,-117.0497,Central Basin and Range,Yes,No,Yes,No
NVV.2.5_2012,NVV.2.5,V_2n,2012,Currant V,38.8183,-115.2835,Central Basin and Range,Yes,No,No,No
NVV.2.5_2021,NVV.2.5,V_2n,2021,Currant V,38.8183,-115.2835,Central Basin and Range,Yes,Yes,No,No
NVV.2.9_2012,NVV.2.9,V_2n,2012,Currant V,38.8183,-115.2835,Central Basin and Range,Yes,No,No,No
NVV.3.4_2012,NVV.3.4,V_4n,2012,Robber's Roost,36.3046,-115.6168,Mojave Basin and Range,Yes,No,No,No
NVV.3.5_2012,NVV.3.5,V_4n,2012,Robber's Roost,36.3046,-115.6168,Mojave Basin and Range,Yes,No,No,No
ORT.1.1_2012,ORT.1.1,T_2n,2012,Jordan Valley,42.9745,-117.1854,Northern Basin and Range,Yes,Yes,Yes,Yes
ORT.1.1_2021,ORT.1.1,T_2n,2021,Jordan Valley,42.9745,-117.1854,Northern Basin and Range,Yes,Yes,Yes,Yes
ORT.1.5_2012,ORT.1.5,T_2n,2012,Jordan Valley,42.9745,-117.1854,Northern Basin and Range,No,No,No,No
ORT.1.6_2012,ORT.1.6,T_2n,2012,Jordan Valley,42.9745,-117.1854,Northern Basin and Range,Yes,Yes,Yes,Yes
ORT.1.6_2021,ORT.1.6,T_2n,2021,Jordan Valley,42.9745,-117.1854,Northern Basin and Range,Yes,Yes,Yes,Yes
ORT.1.8_2012,ORT.1.8,T_2n,2012,Jordan Valley,42.9745,-117.1854,Northern Basin and Range,Yes,No,Yes,No
