"","RT001","C001","RT002","C002","RT003","C003","RT004","C004","RT005","C005","RT006","C006","RT007","C007","RT008","C008","RT009","C009","RT010","C010","RT011","C011","RT012","C012","RT013","C013","RT014","C014","RT015","C015","RT016","C016","RT017","C017","RT018","C018","RT019","C019","RT020","C020","RT021","C021","RT022","C022","RT023","C023","RT024","C024","RT025","C025","RT026","C026","RT027","C027","RT028","C028","RT029","C029","RT030","C030","RT031","C031","RT032","C032","RT033","C033","RT034","C034","RT035","C035","RT036","C036","RT037","C037","RT038","C038","RT039","C039","RT040","C040","RT041","C041","RT042","C042","RT043","C043","RT044","C044","RT045","C045","RT046","C046","RT047","C047","RT048","C048","RT049","C049","RT050","C050","RT051","C051","RT052","C052","RT053","C053","RT054","C054","RT055","C055","RT056","C056","RT057","C057","RT058","C058","RT059","C059","RT060","C060","RT061","C061","RT062","C062","RT063","C063","RT064","C064","RT065","C065","RT066","C066","RT067","C067","RT068","C068","RT069","C069","RT070","C070","RT071","C071","RT072","C072","RT073","C073","RT074","C074"
"AZT.1.7_2012",NA,NA,3.0691,70.689,3.6836,2133.093,NA,NA,NA,NA,7.3213,457.99,NA,NA,NA,NA,NA,NA,12.1361,569.955,NA,NA,NA,NA,13.7667,676.584,NA,NA,NA,NA,14.8601,1924.849,NA,NA,NA,NA,15.7875,241.134,NA,NA,NA,NA,16.9768,1634.245,NA,NA,NA,NA,17.8223,4736.041,17.9607,794.962,NA,NA,NA,NA,18.5593,365.276,18.6403,335.791,18.8642,235.877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8359,705.5,21.0691,2771.851,21.3057,708.537,21.4501,295.189,NA,NA,NA,NA,21.6749,161.327,21.912,106.818,NA,NA,NA,NA,NA,NA,NA,NA,23.2775,83.311,23.4432,385.03,NA,NA,NA,NA,23.7401,179.477,NA,NA,NA,NA,24.01,149.514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.397,168.755,NA,NA,25.9723,488.424,NA,NA,26.4868,346.938,26.6262,765.893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORV.1.1_2012",NA,NA,3.0896,1158.694,3.6866,1028.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.129,691.534,NA,NA,13.1677,203.037,13.7627,1732.71,14.0507,1786.017,NA,NA,14.8771,3787.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9735,2308.801,NA,NA,NA,NA,17.7006,880.048,17.9431,1232.147,NA,NA,18.3723,451.916,18.6184,153.457,NA,NA,NA,NA,NA,NA,NA,NA,20.0185,235.803,NA,NA,NA,NA,NA,NA,20.8228,576.758,21.0867,4652.22,21.3976,158.605,NA,NA,NA,NA,21.647,105.98,NA,NA,21.8941,118.478,NA,NA,NA,NA,NA,NA,NA,NA,23.2682,60.461,23.4323,231.379,NA,NA,NA,NA,23.7298,91.319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9633,155.087,NA,NA,NA,NA,26.6108,73.628,26.7404,123.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NVT.2.9_2012",NA,NA,3.083,236.458,3.6751,1240.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1118,529.103,NA,NA,NA,NA,13.737,484.984,NA,NA,NA,NA,14.8312,1732.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9632,2328.739,NA,NA,NA,NA,NA,NA,17.9118,280.792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8116,782.623,21.0423,2454.217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8933,198.96,NA,NA,NA,NA,NA,NA,23.1167,570.9,NA,NA,NA,NA,23.6064,88.528,NA,NA,NA,NA,23.709,98.491,NA,NA,24.0336,144.116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3832,72.231,NA,NA,NA,NA,NA,NA,NA,NA,26.6058,109.804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTWV.2.8_2012",NA,NA,3.0705,176.454,3.6792,1084.882,NA,NA,5.0531,534.346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7612,479.171,NA,NA,NA,NA,14.8398,475.139,NA,NA,NA,NA,15.8364,742.025,NA,NA,NA,NA,16.9738,1394.428,NA,NA,NA,NA,17.7598,301.588,NA,NA,18.2102,15518.994,NA,NA,18.5718,75.219,NA,NA,18.9206,1624.237,NA,NA,NA,NA,NA,NA,NA,NA,20.3555,176.171,NA,NA,20.8232,203.853,21.0544,1668.86,NA,NA,NA,NA,NA,NA,NA,NA,21.687,1621.671,21.9232,104.834,22.0733,179.901,NA,NA,NA,NA,23.1188,436.274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.0468,126.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3957,91.655,NA,NA,25.9708,330.401,NA,NA,NA,NA,26.6165,189.303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAV.1.6_2012",NA,NA,3.0431,1014.584,3.6689,1118.436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.134,1860.885,NA,NA,13.1648,196.481,13.7547,631.27,NA,NA,NA,NA,14.8501,2084.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9557,1099.829,NA,NA,NA,NA,17.7285,179.015,17.9207,168.01,NA,NA,18.5368,197.681,18.616,177.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.808,377.855,21.0447,2148.077,NA,NA,21.4333,221.679,NA,NA,NA,NA,21.6557,178.95,21.9013,93.578,NA,NA,NA,NA,NA,NA,23.1243,210.666,NA,NA,23.4303,98.131,NA,NA,NA,NA,23.7315,122.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.4761,88.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDT.1.10_2012",NA,NA,3.1587,546.567,3.6771,4116.564,NA,NA,NA,NA,7.3081,609.919,NA,NA,11.6213,454.694,NA,NA,12.1134,505.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8143,459.805,NA,NA,NA,NA,15.7945,856.625,NA,NA,NA,NA,16.934,285.097,NA,NA,NA,NA,17.7543,1977.28,NA,NA,NA,NA,18.5428,622.847,18.6187,394.174,NA,NA,18.867,404.406,NA,NA,19.9277,154.232,20.0042,203.029,NA,NA,NA,NA,20.5443,198.361,20.7936,144.897,NA,NA,21.3058,1535.193,21.4685,232.164,NA,NA,NA,NA,21.7203,5458.353,NA,NA,NA,NA,NA,NA,NA,NA,23.1045,481.349,NA,NA,23.4277,144.249,NA,NA,23.6501,175.47,23.7279,148.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9589,259.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORT.3.10_2012",NA,NA,3.0422,702.158,3.667,2922.323,NA,NA,NA,NA,7.3187,482.832,NA,NA,NA,NA,11.9585,237.068,12.1351,1412.122,NA,NA,NA,NA,13.7641,1219.715,NA,NA,NA,NA,14.9572,11026.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9828,2042.547,NA,NA,NA,NA,17.7388,166.073,17.9482,1073.216,NA,NA,NA,NA,18.5491,218.485,18.6293,216.31,NA,NA,19.34,128.404,NA,NA,NA,NA,20.036,236.596,NA,NA,NA,NA,20.8943,3435.645,21.1018,4704.959,NA,NA,21.4628,295.578,NA,NA,21.6158,102.919,21.6593,182.578,21.9147,143.037,NA,NA,NA,NA,22.983,192.177,23.1586,444.244,23.2789,177.246,23.4447,588.051,23.6215,106.411,NA,NA,23.7389,370.283,NA,NA,NA,NA,24.0092,203.922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9691,342.077,NA,NA,26.4802,87.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NVV.3.4_2012",NA,NA,3.0649,1174.152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1409,1977.441,NA,NA,13.1927,2248.604,13.7897,3051.724,NA,NA,NA,NA,14.8717,958.741,NA,NA,NA,NA,15.8611,1151.945,16.3796,238.934,16.6786,250.595,17.0947,12647.732,NA,NA,NA,NA,NA,NA,17.9576,475.854,NA,NA,18.3684,258.3,NA,NA,NA,NA,18.9344,1528.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.1682,11082.368,NA,NA,NA,NA,21.5402,176.019,NA,NA,21.6792,894.75,21.9417,1053.784,NA,NA,NA,NA,NA,NA,23.1167,724.504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.0481,148.643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9704,343.135,NA,NA,NA,NA,26.6162,156.731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COVW.2.6_2012",NA,NA,3.0987,436.323,3.6905,473.507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1272,1096.656,NA,NA,14.8399,662.089,NA,NA,NA,NA,15.8451,513.855,NA,NA,NA,NA,16.9611,1009.622,NA,NA,NA,NA,17.8123,1274.848,NA,NA,NA,NA,18.4957,491.813,NA,NA,NA,NA,18.9382,2183.955,NA,NA,NA,NA,NA,NA,NA,NA,20.3377,121.959,NA,NA,20.8147,243.458,NA,NA,NA,NA,NA,NA,21.5838,81.181,NA,NA,21.6908,1958.63,NA,NA,22.0697,300.153,NA,NA,NA,NA,NA,NA,NA,NA,23.4311,57.059,NA,NA,NA,NA,23.7321,76.781,NA,NA,NA,NA,24.0034,90.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9646,97.286,NA,NA,NA,NA,26.6136,98.092,26.743,95.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAT.1.5_2012",NA,NA,3.158,375.778,3.6805,2749.415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1142,621.161,NA,NA,NA,NA,13.7347,192.624,NA,NA,NA,NA,14.8142,452.407,NA,NA,NA,NA,15.7847,652.993,NA,NA,NA,NA,16.9588,1850.574,NA,NA,NA,NA,17.745,1488.063,17.9282,165.713,NA,NA,18.537,489.42,18.6167,396.206,NA,NA,18.8623,312.163,NA,NA,NA,NA,20.0055,150.13,NA,NA,NA,NA,20.5455,166.607,20.7976,175.382,21.2867,660.688,NA,NA,21.4604,227.971,NA,NA,NA,NA,21.7127,4889.877,21.9308,226.485,NA,NA,NA,NA,NA,NA,23.1066,499.644,NA,NA,23.4261,90.18,NA,NA,23.6454,120.068,NA,NA,23.7259,74.446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.384,98.942,NA,NA,25.9586,279.765,NA,NA,NA,NA,26.6049,81.448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AZTW.1.8_2012",NA,NA,3.1662,401.776,3.697,4595.333,NA,NA,NA,NA,7.3237,543.94,9.9195,258.852,NA,NA,NA,NA,12.1247,815.551,NA,NA,NA,NA,13.7475,363.528,NA,NA,NA,NA,14.8442,2028.175,NA,NA,NA,NA,15.767,386.835,NA,NA,NA,NA,16.9486,839.768,NA,NA,NA,NA,17.7842,3229.078,17.9295,354.929,NA,NA,18.5449,490.945,18.6223,306.996,NA,NA,18.8449,182.067,NA,NA,NA,NA,20.0082,195.058,NA,NA,NA,NA,20.561,162.286,20.8102,528.855,21.1895,99.396,21.2983,978.311,21.4261,244.881,NA,NA,21.6471,124.179,NA,NA,21.899,67.046,NA,NA,NA,NA,NA,NA,23.1196,520.158,23.2661,97.813,23.4287,150.006,NA,NA,23.6441,89.327,NA,NA,23.7261,82.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3866,99.397,NA,NA,25.9604,250.322,NA,NA,26.4919,202.324,26.609,159.294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDT.3.3_2012",NA,NA,NA,NA,3.6834,3187.678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1135,433.337,NA,NA,NA,NA,13.7387,193.797,NA,NA,NA,NA,14.8187,513.475,NA,NA,NA,NA,15.811,1197.031,NA,NA,NA,NA,16.9417,707.113,NA,NA,NA,NA,17.7695,2727.547,17.9229,195.939,NA,NA,18.5402,528.973,18.617,339.134,NA,NA,18.8927,1322.852,NA,NA,NA,NA,19.9301,129.435,20.0083,223.184,NA,NA,NA,NA,20.8001,194.931,21.2967,1080.07,NA,NA,21.4548,184.788,NA,NA,NA,NA,21.6658,1226.098,21.9079,159.678,NA,NA,NA,NA,NA,NA,23.1077,535.586,NA,NA,23.4254,79.769,NA,NA,23.645,138.561,23.7268,99.258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.958,159.751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDW.3.10_2012",NA,NA,3.2241,889.071,3.7213,3283.547,NA,NA,NA,NA,7.3649,762.535,NA,NA,NA,NA,NA,NA,12.1612,923.639,NA,NA,NA,NA,13.7759,530.858,14.1695,335.575,NA,NA,14.8757,2062.173,NA,NA,NA,NA,15.8291,227.188,NA,NA,NA,NA,16.9662,381.845,NA,NA,NA,NA,17.8259,5146.652,18.002,2401.005,NA,NA,18.4275,898.725,18.5734,310.363,18.6517,302.123,18.8924,177.484,19.356,101.568,NA,NA,NA,NA,20.0451,272.66,NA,NA,NA,NA,20.8713,2064.484,21.2083,81.843,21.3124,799.627,NA,NA,NA,NA,NA,NA,21.6695,582.934,21.9228,77.979,NA,NA,NA,NA,NA,NA,23.1231,521.467,23.2823,169.643,23.4479,466.623,NA,NA,NA,NA,23.7433,188.767,NA,NA,NA,NA,24.013,134.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9737,333.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NVTW.1.3_2012",NA,NA,3.2414,1321.467,3.6949,3864.949,NA,NA,NA,NA,7.3049,673.829,9.9227,300.128,NA,NA,NA,NA,12.1273,489.583,NA,NA,13.1607,181.013,13.7499,256.514,NA,NA,NA,NA,14.8257,404.226,NA,NA,NA,NA,15.8079,681.536,16.3663,176.88,NA,NA,16.9851,2970.157,NA,NA,NA,NA,17.8345,6633.563,17.9471,375.613,NA,NA,NA,NA,18.5522,413.589,18.6323,430.159,18.896,1198.25,NA,NA,NA,NA,20.018,138.351,NA,NA,NA,NA,NA,NA,20.8124,157.691,21.1982,72.553,21.3105,1287.199,21.4526,96.967,21.5264,103.713,NA,NA,21.6668,786.966,21.9146,332.171,NA,NA,NA,NA,NA,NA,23.1108,347.477,23.2706,75.152,23.4339,172.592,NA,NA,23.6544,129.28,23.7337,142.702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9677,543.185,NA,NA,NA,NA,26.6116,103.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDW.3.2_2012",NA,NA,3.1478,162.712,3.6805,1722.405,NA,NA,NA,NA,7.3142,514.61,NA,NA,NA,NA,NA,NA,12.1362,2307.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8716,3676.845,NA,NA,NA,NA,15.7709,225.127,NA,NA,NA,NA,16.9834,206.549,NA,NA,NA,NA,17.7963,4382.072,17.9457,973.531,NA,NA,18.3741,263.343,18.5509,559.834,18.63,469.598,18.8444,121.342,19.33,119.162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8307,1507.202,21.2913,696.472,NA,NA,21.4284,192.976,21.5874,87.228,21.6461,192.354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.13,268.091,23.2663,93.247,23.4294,253.018,NA,NA,NA,NA,NA,NA,23.7249,87.133,NA,NA,23.9987,107.428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9608,177.432,NA,NA,NA,NA,26.608,94.684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAW.1.7_2012",NA,NA,NA,NA,3.6789,1729.088,NA,NA,NA,NA,7.3191,674.559,9.924,278.294,NA,NA,NA,NA,12.1222,878.405,NA,NA,NA,NA,13.7429,253.449,NA,NA,NA,NA,14.9,6325.281,NA,NA,NA,NA,NA,NA,16.3621,189.228,NA,NA,17.0116,5477.453,NA,NA,NA,NA,17.7333,434.378,17.9453,1762.003,NA,NA,18.5324,107.504,18.6133,137.96,NA,NA,NA,NA,19.3261,115.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8692,3116.878,21.2539,247.613,NA,NA,21.4342,275.715,NA,NA,21.6477,94.375,NA,NA,21.9057,500.803,NA,NA,NA,NA,22.9725,102.058,23.1452,302.931,23.2677,114.58,23.432,378.691,23.6105,106.674,NA,NA,23.7268,223.543,NA,NA,NA,NA,23.9993,104.722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9603,144.856,NA,NA,26.4937,120.118,26.6095,151.381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORT.3.5_2012",NA,NA,3.1595,327.467,3.6999,3642.305,NA,NA,NA,NA,7.3181,924.324,9.9259,341.814,NA,NA,NA,NA,12.1274,346.079,NA,NA,NA,NA,13.7475,146.869,NA,NA,NA,NA,14.8507,2015.425,NA,NA,NA,NA,15.7778,305.222,NA,NA,NA,NA,16.9567,1243.206,NA,NA,NA,NA,17.7694,2180.522,17.9452,1085.609,NA,NA,18.5376,176.378,18.6174,177.679,NA,NA,18.8652,506.732,NA,NA,NA,NA,20.0168,284.486,NA,NA,NA,NA,NA,NA,20.8351,1317.477,21.2876,498.309,NA,NA,21.4395,209.475,21.5156,104.107,NA,NA,21.6667,986.615,21.906,130.489,NA,NA,NA,NA,22.9767,100.052,23.1236,542.061,23.27,101.739,23.4335,244.745,23.616,163.754,NA,NA,23.7311,221.042,NA,NA,NA,NA,24.0013,58.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3904,106.144,NA,NA,25.9661,401.313,NA,NA,NA,NA,26.6116,132.161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORV.1.4_2012",NA,NA,3.0872,572.632,3.6844,1927.924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1542,1566.717,NA,NA,13.1853,424.963,13.7931,2523.562,14.1478,770.19,NA,NA,14.9156,5225.771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.969,794.735,NA,NA,NA,NA,17.7695,2237.278,17.9813,1876.797,NA,NA,18.4328,1288.445,18.5747,338.695,18.653,304.874,NA,NA,19.355,127.942,NA,NA,NA,NA,20.0527,199.667,NA,NA,NA,NA,20.8805,1471.517,21.1349,6723.435,NA,NA,21.4383,207.628,21.5421,93.542,NA,NA,21.6861,587.005,21.9198,67.7,NA,NA,NA,NA,NA,NA,23.1554,103.755,23.2816,87.449,23.443,157.643,NA,NA,NA,NA,23.7426,133.599,NA,NA,NA,NA,24.0526,291.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9781,699.492,NA,NA,NA,NA,26.6204,145.025,26.7539,213.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORT.2.5_2012",NA,NA,3.213,1544.525,3.7121,4550.618,NA,NA,NA,NA,7.3363,892.872,9.9513,429.9,NA,NA,NA,NA,12.1562,462.124,NA,NA,13.1978,212.427,13.786,421.737,NA,NA,NA,NA,14.859,525.8,NA,NA,NA,NA,15.8288,990.42,16.4018,361.781,NA,NA,16.9782,687.552,NA,NA,NA,NA,17.8751,7799.063,17.9808,381.596,NA,NA,NA,NA,18.5863,434.221,18.6634,388.259,18.9373,1758.143,NA,NA,NA,NA,19.965,211.964,20.0502,139.366,NA,NA,20.6166,183.687,20.8619,300.884,21.1325,5645.62,21.3451,1612.543,21.4687,491.127,21.5576,191.689,21.624,149.772,21.7287,3008.066,21.9468,211.413,NA,NA,22.6746,166.88,NA,NA,NA,NA,23.2904,82.064,23.459,474.486,23.5835,82.624,23.6704,182.469,23.7547,320.215,NA,NA,NA,NA,24.0215,148.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.4081,139.474,NA,NA,25.9827,375.216,NA,NA,NA,NA,26.6274,98.382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTT.2.3_2012",NA,NA,NA,NA,3.6893,2102.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1218,364.058,NA,NA,13.163,146.475,13.745,191.881,NA,NA,NA,NA,14.8234,535.964,NA,NA,NA,NA,15.7785,502.911,NA,NA,NA,NA,16.944,261.643,NA,NA,NA,NA,17.8139,5333.178,17.9334,188.729,NA,NA,NA,NA,18.6225,295.714,NA,NA,18.8595,510.251,NA,NA,19.9058,170.584,20.0087,131.126,NA,NA,NA,NA,NA,NA,20.8061,204.834,21.194,79.113,21.3062,1190.074,21.4347,265.98,21.5936,69.275,NA,NA,21.6807,1716.979,NA,NA,NA,NA,NA,NA,NA,NA,23.1083,280.83,NA,NA,23.4318,191.196,NA,NA,23.6473,134.67,23.7303,126.087,NA,NA,NA,NA,24.0001,64.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3899,143.796,NA,NA,NA,NA,NA,NA,NA,NA,26.6131,349.408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COW.1.2_2012",NA,NA,3.0753,742.898,3.69,940.912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.169,571.333,13.7675,1790.123,NA,NA,NA,NA,14.8502,2331.686,NA,NA,NA,NA,NA,NA,16.3717,344.653,NA,NA,17.0769,12048.99,NA,NA,NA,NA,17.7333,163.267,17.9416,931.148,NA,NA,18.5369,156.079,18.6166,140.976,NA,NA,19.0157,130.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8646,934.062,21.1342,8798.309,NA,NA,21.4263,252.514,21.5302,459.583,NA,NA,21.6685,440.803,21.9242,1023.473,22.34,134.93,NA,NA,NA,NA,23.1175,175.493,23.269,57.728,23.4294,105.359,NA,NA,NA,NA,23.7294,130.224,NA,NA,NA,NA,24.0404,235.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3889,91.091,NA,NA,25.963,250.493,NA,NA,NA,NA,26.6135,382.527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COVW.2.4_2012",NA,NA,3.0587,1266.913,3.6673,743.933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1225,341.429,NA,NA,NA,NA,13.7547,433.667,14.2735,3000.759,14.5384,378.289,14.856,1546.884,NA,NA,NA,NA,15.9052,1920.362,NA,NA,NA,NA,16.9745,1455.556,NA,NA,17.4151,198.153,17.8391,2159.221,NA,NA,18.2456,19770.233,18.496,1572.203,18.5927,86.483,NA,NA,18.9444,1842.354,NA,NA,NA,NA,NA,NA,NA,NA,20.3706,123.692,NA,NA,20.8359,542.949,21.0705,2120.434,NA,NA,NA,NA,NA,NA,NA,NA,21.7075,2728.412,21.9359,121.25,22.0782,165.264,NA,NA,NA,NA,23.1134,408.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9669,133.399,NA,NA,NA,NA,26.6144,128.862,26.757,187.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDW.1.5_2012",NA,NA,3.2313,1550.725,3.6802,5164.424,NA,NA,NA,NA,7.3052,559.852,9.9335,246.204,NA,NA,NA,NA,12.1547,2444.74,NA,NA,NA,NA,13.7646,506.794,NA,NA,NA,NA,14.8813,3230.24,NA,NA,NA,NA,15.8123,561.982,NA,NA,NA,NA,16.9791,1590.29,NA,NA,NA,NA,17.8393,5796.727,17.9663,660.632,NA,NA,18.4235,115.202,18.5924,1197.95,18.6759,993.653,18.8808,355.785,NA,NA,NA,NA,19.9404,215.519,20.0358,218.181,NA,NA,NA,NA,20.8441,1015.318,21.2087,89.144,21.3108,786.801,21.4637,348.412,NA,NA,NA,NA,21.6819,1317.851,21.9233,136.018,22.3349,166.919,NA,NA,NA,NA,23.1176,484.808,23.2801,76.386,23.4428,258.537,NA,NA,23.6658,111.981,23.7414,145.218,NA,NA,NA,NA,24.0124,110.829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3959,90.791,NA,NA,25.9763,772.96,NA,NA,26.4885,183.975,26.6188,243.508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAV.2.7_2012",NA,NA,3.1329,630.912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1398,498.77,NA,NA,13.179,327.913,13.7767,1082.522,NA,NA,NA,NA,14.8558,1580.821,NA,NA,15.4085,117.123,NA,NA,16.3857,162.708,NA,NA,17.0338,5697.307,NA,NA,NA,NA,17.7464,124.02,17.95,953.683,NA,NA,NA,NA,18.5528,132.261,18.6316,110.256,NA,NA,19.4433,187.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8299,240.961,21.1008,4801.104,NA,NA,21.4255,132.491,21.5328,214.181,NA,NA,21.6718,329.971,21.9175,459.022,22.2399,219.839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.0482,127.334,NA,NA,NA,NA,24.9608,98.27,NA,NA,NA,NA,NA,NA,NA,NA,25.9777,620.829,NA,NA,NA,NA,26.6234,374.685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDV.5.10_2012",NA,NA,3.0692,183.83,3.6729,1091.337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1367,1066.19,NA,NA,13.1702,403.886,13.7745,1985.9,NA,NA,NA,NA,14.923,7553.838,NA,NA,15.4065,113.01,NA,NA,16.3715,131.194,NA,NA,17.0235,5150.629,NA,NA,NA,NA,17.738,131.874,17.9427,869.059,NA,NA,NA,NA,18.5543,360.534,18.6346,347.739,NA,NA,19.3389,90.763,NA,NA,NA,NA,20.04,406.35,NA,NA,NA,NA,20.8522,768.866,21.1302,7542.462,NA,NA,21.4591,123.868,21.5314,72.858,NA,NA,21.6823,249.037,21.9199,463.36,22.2602,113.395,NA,NA,NA,NA,23.1217,553.617,23.2772,143.837,23.4382,198.089,NA,NA,NA,NA,23.734,90.848,NA,NA,NA,NA,24.0459,148.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.4869,141.477,NA,NA,25.9672,116.384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
