"","Paired","Garden Plant ID","2020 STATUS","Project","Location","Subspecies","Year","Plant","Ploidy","Subsp_ploidy","Patch","Date","Veg_Type","Collection","DNA Concentration (ng/uL)","Description","Plant Group","Site","Latitude","Longitude","Elevation (m)"
"MTT.1.6_2021",TRUE,172,"","OCG","MT","T","2021","MTT.1.6","2n","T_2n",NA,NA,NA,NA,41,"MTT.1.6_2021","MTT-1","Bridger Crk",45.2056,-108.8256,1240
"MTV.1.10_2012",FALSE,374,"D","OCG","MT","V","2012","MTV.1.10","2n","V_2n",NA,NA,NA,NA,16.8,"MTV.1.10_2012","MTV-1","Tie Flat Rd",45.1724,-108.4559,2156
"MTW.1.2_2012",TRUE,366,"A","OCG","MT","W","2012","MTW.1.2","4n","W_4n",NA,NA,NA,NA,8.7,"MTW.1.2_2012","MTW-1","Powderville",45.6545,-105.1545,972
"MTW.1.2_2021",TRUE,366,"","OCG","MT","W","2021","MTW.1.2","4n","W_4n",NA,NA,NA,NA,103.4,"MTW.1.2_2021","MTW-1","Powderville",45.6545,-105.1545,972
"MTW.3.4_2021",TRUE,166,"","OCG","MT","W","2021","MTW.3.4","4n","W_4n",NA,NA,NA,NA,56.5,"MTW.3.4_2021","MTW-3","Pryor Mtn",45.2066,-108.7832,1458
"MTW.3.7_2012",FALSE,417,"D","OCG","MT","W","2012","MTW.3.7","4n","W_4n",NA,NA,NA,NA,10.7,"MTW.3.7_2012","MTW-3","Pryor Mtn",45.2066,-108.7832,1458
"MTW.3.7.R_2012",FALSE,305,"D","OCG","MT","W","2012","MTW.3.7","4n","W_4n",NA,NA,NA,NA,18,"MTW.3.7.R_2012","MTW-3","Pryor Mtn",45.2066,-108.7832,1458
"NEG_8-28-21",NA,NA,"","OCG","NEG","NEG","NEG","NEG8-28","NEG","NEG",NA,NA,NA,NA,0.6,"NEG_8-28-21","","",NA,NA,NA
"NMT.1.6_2012",TRUE,190,"A","OCG","NM","T","2012","NMT.1.6","4n","T_4n",NA,NA,NA,NA,60.7,"NMT.1.6_2012","NMT-1","Penistaja",35.9802,-107.2257,2122
"NMT.1.6_2021",TRUE,190,"","OCG","NM","T","2021","NMT.1.6","4n","T_4n",NA,NA,NA,NA,32.4,"NMT.1.6_2021","NMT-1","Penistaja",35.9802,-107.2257,2122
"NMT.1.9_2012",TRUE,113,"A","OCG","NM","T","2012","NMT.1.9","4n","T_4n",NA,NA,NA,NA,43,"NMT.1.9_2012","NMT-1","Penistaja",35.9802,-107.2257,2122
"NMT.1.9_2021",TRUE,113,"","OCG","NM","T","2021","NMT.1.9","4n","T_4n",NA,NA,NA,NA,56.1,"NMT.1.9_2021","NMT-1","Penistaja",35.9802,-107.2257,2122
"NMT.2.3_2021",TRUE,53,"","OCG","NM","T","2021","NMT.2.3","4n","T_4n",NA,NA,NA,NA,27.4,"NMT.2.3_2021","NMT-2","San Luis Mesa",35.7572,-107.1478,1979
"NMT.2.4_2012",TRUE,201,"A","OCG","NM","T","2012","NMT.2.4","4n","T_4n",NA,NA,NA,NA,59.5,"NMT.2.4_2012","NMT-2","San Luis Mesa",35.7572,-107.1478,1979
"NMT.2.4_2021",TRUE,201,"","OCG","NM","T","2021","NMT.2.4","4n","T_4n",NA,NA,NA,NA,109.7,"NMT.2.4_2021","NMT-2","San Luis Mesa",35.7572,-107.1478,1979
"NMT.2.5_2012",TRUE,23,"A","OCG","NM","T","2012","NMT.2.5","4n","T_4n",NA,NA,NA,NA,13,"NMT.2.5_2012","NMT-2","San Luis Mesa",35.7572,-107.1478,1979
"NMT.2.6_2021",TRUE,99,"","OCG","NM","T","2021","NMT.2.6","4n","T_4n",NA,NA,NA,NA,30.3,"NMT.2.6_2021","NMT-2","San Luis Mesa",35.7572,-107.1478,1979
"NMT.2.8_2012",TRUE,164,"A","OCG","NM","T","2012","NMT.2.8","4n","T_4n",NA,NA,NA,NA,47.7,"NMT.2.8_2012","NMT-2","San Luis Mesa",35.7572,-107.1478,1979
"NMT.2.8_2021",TRUE,164,"","OCG","NM","T","2021","NMT.2.8","4n","T_4n",NA,NA,NA,NA,86,"NMT.2.8_2021","NMT-2","San Luis Mesa",35.7572,-107.1478,1979
"NVT.1.6_2012",FALSE,302,"D","OCG","NV","T","2012","NVT.1.6","2n","T_2n",NA,NA,NA,NA,23.9,"NVT.1.6_2012","NVT-2","Currant B",38.7971,-115.3921,1797
"NVT.2.8_2012",FALSE,321,"D","OCG","NV","T","2012","NVT.2.8","2n","T_2n",NA,NA,NA,NA,31.3,"NVT.2.8_2012","NVT-2","Currant B",38.7971,-115.3921,1797
"NVT.2.9_2012v1",FALSE,213,"D","OCG","NV","T","2012","NVT.2.9","2n","T_2n",NA,NA,NA,NA,21.3,"NVT.2.9_2012","NVT-2","Currant B",38.7971,-115.3921,1797
"NVT.2.9_2012v2",FALSE,213,"D","OCG","NV","T","2012","NVT.2.9","2n","T_2n",NA,NA,NA,NA,12.6,"NVT.2.9_2012","NVT-2","Currant B",38.7971,-115.3921,1797
"NVTW.1.10_2012",TRUE,450,"A","OCG","NV","T","2012","NVTW.1.10","2n","T_2n",NA,NA,NA,NA,78.9,"NVTW.1.10_2012","NVV-1","Austin",39.4728,-117.0497,2412
"NVTW.1.10_2021",TRUE,450,"","OCG","NV","T","2021","NVTW.1.10","2n","T_2n",NA,NA,NA,NA,115.8,"NVTW.1.10_2021","NVV-1","Austin",39.4728,-117.0497,2412
"NVTW.1.3_2012",FALSE,234,"D","OCG","NV","T","2012","NVTW.1.3","2n","T_2n",NA,NA,NA,NA,50.3,"NVTW.1.3_2012","NVV-1","Austin",39.4728,-117.0497,2412
"NVV.2.5_2012",TRUE,205,"A","OCG","NV","V","2012","NVV.2.5","2n","V_2n",NA,NA,NA,NA,16.3,"NVV.2.5_2012","NVV-2","Currant V",38.8183,-115.2835,2132
"NVV.2.5_2021",TRUE,205,"","OCG","NV","V","2021","NVV.2.5","2n","V_2n",NA,NA,NA,NA,97.7,"NVV.2.5_2021","NVV-2","Currant V",38.8183,-115.2835,2132
"NVV.2.9_2012",FALSE,150,"D","OCG","NV","V","2012","NVV.2.9","2n","V_2n",NA,NA,NA,NA,16.9,"NVV.2.9_2012","NVV-2","Currant V",38.8183,-115.2835,2132
"NVV.3.4_2012",FALSE,220,"D","OCG","NV","V","2012","NVV.3.4","4n","V_4n",NA,NA,NA,NA,28.5,"NVV.3.4_2012","NVV-3","Robber's Roost",36.3046,-115.6168,2410
"NVV.3.5_2012",FALSE,290,"D","OCG","NV","V","2012","NVV.3.5","4n","V_4n",NA,NA,NA,NA,21.6,"NVV.3.5_2012","NVV-3","Robber's Roost",36.3046,-115.6168,2410
"ORT.1.1_2012",TRUE,208,"A","OCG","OR","T","2012","ORT.1.1","2n","T_2n",NA,NA,NA,NA,51.4,"ORT.1.1_2012","ORT-1","Jordan Valley",42.9745,-117.1854,1349
"ORT.1.6_2012",TRUE,394,"A","OCG","OR","T","2012","ORT.1.6","2n","T_2n",NA,NA,NA,NA,33.8,"ORT.1.6_2012","ORT-1","Jordan Valley",42.9745,-117.1854,1349
"ORT.1.6_2021",TRUE,394,"","OCG","OR","T","2021","ORT.1.6","2n","T_2n",NA,NA,NA,NA,83,"ORT.1.6_2021","ORT-1","Jordan Valley",42.9745,-117.1854,1349
"ORT.1.9_2012",TRUE,381,"A","OCG","OR","T","2012","ORT.1.9","2n","T_2n",NA,NA,NA,NA,31,"ORT.1.9_2012","ORT-1","Jordan Valley",42.9745,-117.1854,1349
"ORT.1.9_2021",TRUE,381,"","OCG","OR","T","2021","ORT.1.9","2n","T_2n",NA,NA,NA,NA,49.5,"ORT.1.9_2021","ORT-1","Jordan Valley",42.9745,-117.1854,1349
"ORT.2.10_2012v1",FALSE,122,"A","OCG","OR","T","2012","ORT.2.10","2n","T_2n",NA,NA,NA,NA,14.2,"ORT.2.10_2012","ORT-2","Echo",45.7589,-119.2076,223
