"","C001","C002","C003","C004","C005","C006","C007","C008","C009","C010","C011","C012","C013","C014","C015","C016","C017","C018","C019","C020","C021","C022","C023","C024","C025","C026","C027","C028","C029","C030","C031","C032","C033","C034","C035","C036","C037","C038","C039","C040","C041","C042","C043","C044","C045","C046","C047","C048","C049","C050","C051","C052","C053","C054","C055","C056","C057","C058","C059","C060","C061","C062","C063","C064","C065","C066","C067","C068","C069","C070","C071","C072","C073"
"NMT.2.4_2021",2113.387,176.067,0,0,0,0,0,0,0,0,129.507,0,0,0,0,0,236.273,244.088,2361.011,0,0,0,0,0,503.035,303.682,0,97.367,0,0,182.12,177.813,0,0,1592.583,1153.313,390.289,77.968,316.944,0,434.962,0,0,0,0,0,0,0,83.337,0,0,0,93.993,0,0,0,0,0,0,474.106,0,0,0,0,0,0,0,0,0,0,0,0,0
"NMT.2.5_2012",550.851,1695.59,0,0,0,0,0,0,188.862,0,0,1564.781,0,0,2430.277,0,0,0,0,0,1090,0,0,128.374,402.806,0,0,0,0,0,0,0,0,0,0,0,1347.292,107.897,0,79.369,0,107.447,0,96.976,0,0,0,535.39,62.628,97.072,74.448,0,0,120.948,0,103.097,0,0,0,0,0,153.582,0,490.226,0,147.289,271.639,0,0,0,0,0,0
"NMT.2.5_2021",2787.114,177.494,0,418.796,0,0,105.877,0,175.133,0,1487.95,0,0,0,0,0,0,0,1118.167,0,0,0,0,0,113.621,104.288,0,0,0,0,172.15,127.531,0,0,1682.083,7166.798,133.153,121.274,0,0,87.789,0,0,0,0,0,71.438,0,85.122,0,0,0,116.999,0,0,0,0,0,0,156.628,0,0,0,0,0,0,0,0,0,0,0,0,0
"NMT.2.6_2012",679.394,1606.503,0,0,0,0,0,0,408.958,0,273.861,1067.758,0,0,3674.295,0,0,292.191,0,0,134.785,0,0,1010.422,374.82,0,0,479.128,338.088,0,0,0,114.078,159.15,0,0,1386.62,6568.965,844.407,162.859,87.761,0,176.256,0,0,0,0,352.685,59.566,150.408,0,0,91.765,0,0,0,0,0,0,0,0,360.632,0,135.725,0,0,573.59,0,0,0,0,0,0
"NMT.2.6_2021",9527.422,571.353,204.378,0,0,0,837.94,102.25,168.177,696.876,3049.809,0,0,0,0,0,299.342,349.685,287.448,139.472,0,0,4346.766,0,264.266,419.542,309.451,0,0,143.758,186.708,0,0,0,211.434,2777.569,12617.542,223.775,557.966,0,0,0,0,149.087,0,0,111.69,249.838,129.9,97.263,0,0,118.259,0,0,0,0,0,68.909,433.714,0,0,0,0,0,0,0,0,0,0,0,0,0
"NMT.2.8_2012",487.048,1527.64,0,0,508.691,0,0,0,272.705,0,0,1459.202,0,0,1650.501,0,0,147.026,0,0,393.546,0,0,1038.409,537.053,0,119.322,106.097,0,0,0,0,0,0,0,0,840.887,6587.942,172.1,0,121.581,272.723,0,0,0,0,0,0,0,106.679,0,0,104.204,0,0,98.971,0,0,0,0,0,219.17,0,870.176,69.411,368.119,1122.458,0,0,0,0,0,0
"NMT.2.8_2021",1777.491,0,0,0,0,0,517.535,0,102.774,161.647,1202.538,0,0,0,0,0,140.161,0,799.86,0,0,0,0,161.416,0,138.459,0,0,0,0,0,0,0,0,766.846,5336.71,222.916,191.608,81.635,0,75.642,0,0,0,0,0,0,0,0,0,0,0,66.572,0,0,0,0,0,0,186.579,0,0,0,0,0,0,0,0,0,0,0,0,0
"NVT.1.6_2012",786.493,1001.823,0,0,707.052,0,0,0,227,0,0,1000.796,0,0,3026.271,0,0,0,0,0,2103.486,0,0,98.275,180.575,0,0,0,0,0,0,0,0,0,0,0,1030.335,6017.777,0,112.532,0,142.429,0,249.081,0,97.412,84.981,559.789,168.962,0,0,0,0,83.091,0,190.881,0,0,0,0,0,0,0,311.92,0,0,80.509,0,0,0,0,0,0
"NVT.2.8_2012",504.184,3132.572,0,0,699.839,292.999,0,0,1250.957,0,0,188.73,0,0,9077.551,0,0,0,135.823,0,4765.787,165.48,0,449.596,2361.666,0,152.663,171.661,0,0,154.377,0,203.886,0,0,0,3627.087,504.035,0,297.606,0,110.411,254.792,430.614,0,0,286.72,468,222.222,963.851,88.122,0,442.096,0,0,209.116,0,0,0,0,0,65.019,0,0,0,0,138.542,0,0,0,0,0,0
"NVTW.1.10_2012",1339.318,4123.605,0,0,0,0,0,0,1572.185,0,0,574.532,0,0,1028.652,0,0,1576.135,0,0,1361.606,0,0,1609.929,103.852,0,0,1418.383,998.443,479.659,0,0,407.001,352.166,0,0,329.886,3904.951,2360.524,384.478,0,0,2673.063,282.861,0,0,138.207,847.653,113.511,166.738,0,233.246,176.003,0,0,105.928,0,0,0,0,0,0,0,298.068,0,0,171.812,0,0,0,0,0,0
"NVTW.1.10_2021",5762.229,161.667,0,0,0,0,956.37,0,145.585,0,588.831,113.202,0,0,0,0,1737.853,290.375,1660.523,111.531,0,0,0,0,598.351,941.923,615.695,0,0,0,655.962,114.234,0,0,190.57,4072.33,122.058,279.167,2505.806,0,171.948,0,0,235.468,0,108.743,70.002,78.939,79.615,56.533,0,0,176.897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NVTW.1.3_2012",1321.467,3864.949,0,0,673.829,300.128,0,0,489.583,0,181.013,256.514,0,0,404.226,0,0,681.536,176.88,0,2970.157,0,0,6633.563,375.613,0,0,413.589,430.159,1198.25,0,0,138.351,0,0,0,157.691,72.553,1287.199,96.967,103.713,0,786.966,332.171,0,0,0,347.477,75.152,172.592,0,129.28,142.702,0,0,0,0,0,0,0,0,0,0,543.185,0,0,103.429,0,0,0,0,0,0
